length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_eq,nb_slash,nb_www,ratio_digits_url,ratio_digits_host,tld_in_subdomain,prefix_suffix,shortening_service,phish_hints,domain_age,dns_record,https_token,google_index,page_rank,web_traffic,label
37,19,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,-1,1,0,1,4,0,0
77,23,1,1,0,0,0,0,5,0,0.220779221,0.0,0,0,0,0,5767,0,0,1,2,0,1
126,50,1,4,1,0,1,3,5,0,0.150793651,0.0,1,1,0,0,4004,0,1,1,0,5828815,1
18,11,0,2,0,0,0,0,2,0,0.0,0.0,0,0,0,0,-1,0,0,0,3,107721,0
55,15,0,2,2,0,0,0,5,1,0.0,0.0,0,0,0,0,8175,0,0,0,6,8725,0
32,24,0,3,1,0,0,0,3,0,0.0,0.0,0,1,0,0,-1,0,0,1,0,0,1
19,12,0,2,0,0,0,0,2,1,0.0,0.0,0,0,0,0,7529,0,0,0,1,0,0
81,27,1,2,0,0,0,0,5,1,0.259259259,0.0,0,0,0,0,5767,0,0,1,2,0,1
42,34,0,2,0,0,0,0,3,0,0.0,0.0,0,0,1,0,7298,0,0,0,5,0,0
104,10,0,1,10,0,0,0,6,0,0.076923077,0.0,0,0,0,1,9368,0,1,0,5,6774,0
56,22,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,-1,0,1,0,2,1627089,0
43,16,0,2,3,0,0,0,3,1,0.186046512,0.0,0,0,0,0,7911,0,1,0,6,944,0
83,14,0,1,9,0,0,0,4,0,0.012048193,0.0,0,0,0,0,1505,0,1,0,4,158942,0
31,10,0,2,0,0,0,0,3,0,0.064516129,0.0,0,0,0,0,1761,0,0,1,4,1173197,1
25,16,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,2041,0,1,0,2,4297684,0
51,23,0,3,0,0,1,1,4,0,0.019607843,0.0,0,0,0,0,3892,0,0,0,4,0,1
31,22,0,2,0,0,0,0,3,1,0.0,0.0,0,0,1,0,8301,0,1,0,4,99386,0
50,21,0,2,0,0,0,0,5,0,0.06,0.0,0,0,0,0,2316,0,0,1,0,0,1
34,23,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,2935,1,0,1,0,0,1
27,19,0,2,0,0,0,0,3,1,0.148148148,0.210526316,0,0,0,0,3932,0,0,0,2,927214,0
63,14,0,3,2,0,0,0,7,1,0.0,0.0,0,1,0,0,8759,0,0,0,5,26017,0
66,16,0,2,4,0,0,0,4,0,0.0,0.0,0,0,1,0,5647,0,1,0,6,1040,0
